FormCode,QuestionNo,MultiSectionQuestion,QuestionOfficial,SectionName,SubSectionName,ChoiceText,FormLabel,MaxChars,IsSingleCheckbox,SortOrder,PageNo,MultiSectionName,MultiSectionNo
FPO-0001,,,PO Date,Order Header,PO Info,,Text1,,,5,1,,
FPO-0001,,,PO No,Order Header,PO Info,,Text2,,,7,20,,
FPO-0001,,,Company Name,Order Header,Company,,Text22,,,10,1,,
FPO-0001,,,Street Address,Order Header,Company,,Text3,,,20,1,,
FPO-0001,,,"City, St Zip",Order Header,Company,,Text4,,,30,1,,
FPO-0001,,,Phone,Order Header,Company,,Text5,,,40,1,,
FPO-0001,,,Fax,Order Header,Company,,Text6,,,50,1,,
FPO-0001,,,Website,Order Header,Company,,Text7,,,60,1,,
FPO-0001,,,Vendor Company Name,Order Header,Vendor,,Text8,,,70,1,,
FPO-0001,,,Vendor Contact Name or Department,Order Header,Vendor,,Text9,,,80,1,,
FPO-0001,,,Vendor Street Address,Order Header,Vendor,,Text10,,,90,1,,
FPO-0001,,,"Vendor City, St Zip",Order Header,Vendor,,Text11,,,100,1,,
FPO-0001,,,Vendor Phone,Order Header,Vendor,,Text12,,,110,1,,
FPO-0001,,,Vendor Fax,Order Header,Vendor,,Text13,,,120,1,,
FPO-0001,,,Ship To Contact Name,Order Details,Shipping/Delivery,,Text14,,,130,1,,
FPO-0001,,,Ship To Company Name,Order Details,Shipping/Delivery,,Text15,,,140,1,,
FPO-0001,,,Ship To Street Address,Order Details,Shipping/Delivery,,Text16,,,150,1,,
FPO-0001,,,"Ship To City, St Zip",Order Details,Shipping/Delivery,,Text17,,,160,1,,
FPO-0001,,,Ship To Phone,Order Details,Shipping/Delivery,,Text18,,,170,1,,
FPO-0001,,,Shipping Terms,Order Details,Shipping/Delivery,"ShippingTerms:DDP,Point of Destination|EXW,Point of Origin|FOB,FOB|CIF,CIF",Text19,,,180,1,,
FPO-0001,,,Shipping Method,Order Details,Shipping/Delivery,"ShippingMethods:UPS,UPS|FedEx,FedEx|DHL,DHL",Text20,,,190,1,,
FPO-0001,,,Delivery Date,Order Details,Shipping/Delivery,,Text21,,,200,1,,
FPO-0001,,Enter line item details:,Item No,Order Details,Line Items,,Text23,,,210,1,Line Item,1
FPO-0001,,,Item Description,Order Details,Line Items,,Text24,,,220,1,Line Item,1
FPO-0001,,,Item Qty,Order Details,Line Items,,Text25,,,230,1,Line Item,1
